id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
24478,Pepe,PEPE,pepe,364,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,,37,420690000000000.0,2953531797.587398,,2024-04-29T04:44:00.000Z,7.020684583867927e-06,650908412.1935897,0.7522,0.33312537,-4.4784259,9.94801852,-11.28842346,113.95495902,564.17896683,2953531095.5189033,0.1271,2953531797.59,,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,2024-04-29 12:46:40.516578
11841,Arbitrum,ARB,arbitrum,886,2023-03-23T12:50:11.000Z,"['scaling', 'dao', 'dapp', 'ethereum-ecosystem', 'polychain-capital-portfolio', 'layer-2', 'rollups', 'pantera-capital-portfolio', 'arbitrum-ecosytem', 'modular-blockchain', 'egirl-capital-portfolio']",,2653939384.0,10000000000.0,False,,38,,,,2024-04-29T04:44:00.000Z,1.0844390838454887,287842026.10808885,-15.6718,0.44465851,-5.5694857,-11.04069366,-34.44200221,-45.29106267,-42.35605532,2878035594.1664205,0.1238,10844390838.45,,2024-04-29T04:44:00.000Z,11841.0,Arbitrum,ARB,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,2024-04-29 12:46:40.516578
3077,VeChain,VET,vechain,282,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio', 'real-world-assets']",86712634466.0,72714516834.0,85985041177.0,False,,39,72714516834.0,2873033979.5484657,,2024-04-29T04:44:00.000Z,0.03951114721847518,63843209.52861897,46.5366,1.26366742,-0.73305301,-6.63247769,-14.25122479,-17.54635539,36.59826945,2873033979.5484657,0.1236,3426115666.09,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
22974,Bittensor,TAO,bittensor,60,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",21000000.0,6669361.0,6669361.0,False,,40,,,,2024-04-29T04:45:00.000Z,420.9090581064774,22095545.96340788,-5.692,0.12435175,-2.23874985,-13.14359256,-19.16407493,-30.49535422,-2.48045711,2807194456.682074,0.1208,8839090220.24,,2024-04-29T04:45:00.000Z,,,,,,2024-04-29 12:46:40.516578
1518,Maker,MKR,maker,470,2017-01-29T00:00:00.000Z,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'bnb-chain', 'real-world-assets', 'standard-crypto-portfolio']",1005577.0,925123.91403397,977631.03695089,False,,41,,,0.45365488,2024-04-29T04:44:00.000Z,3019.9117775164295,77507369.56152065,1.945,0.54557085,0.03490207,0.34960858,-18.00969547,36.86941664,53.2666052,2793792603.6532826,0.1202,3036753825.5,6158409676.11973,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2024-04-29 12:46:40.516578
20396,Kaspa,KAS,kaspa,113,2022-06-01T00:03:58.000Z,"['mineable', 'dag', 'pow', 'store-of-value', 'polychain-capital-portfolio', 'layer-1']",28700000000.0,23481416472.50377,23481416472.50377,False,,42,,,,2024-04-29T04:44:00.000Z,0.1163863174336319,61242102.39843027,-21.3245,0.87817139,5.90622657,-1.45831831,-15.00991718,-33.15077423,9.8564814,2732915591.3601365,0.1176,3340287310.35,,2024-04-29T04:44:00.000Z,,,,,,2024-04-29 12:46:40.516578
11840,Optimism,OP,optimism-ethereum,514,2022-05-31T16:19:46.000Z,"['layer-2', 'optimism-ecosystem', 'modular-blockchain']",4294967296.0,1045379867.0,4294967296.0,False,,43,,,,2024-04-29T04:44:00.000Z,2.595313496275683,367434341.61130375,-0.4514,-0.17431514,-2.02742454,2.30230056,-30.3361179,-33.29284162,-16.72435051,2713088477.5599785,0.1167,11146786589.37,,2024-04-29T04:44:00.000Z,11840.0,Optimism,OP,optimism-ethereum,0x4200000000000000000000000000000000000042,2024-04-29 12:46:40.516578
28752,dogwifhat,WIF,dogwifhat,314,2023-12-19T09:08:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel']",,998906139.236583,998906139.236583,False,,44,,,,2024-04-29T04:45:00.000Z,2.662286939108875,219699611.29400077,-23.4167,1.59772264,-3.75415072,-10.77589717,-40.70980737,231.14180513,720.4043295,2659374767.8852262,0.1144,2659374767.89,,2024-04-29T04:45:00.000Z,5426.0,Solana,SOL,solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,2024-04-29 12:46:40.516578
7226,Injective,INJ,injective,369,2020-09-29T00:00:00.000Z,"['pos', 'platform', 'cosmos-ecosystem', 'ai-big-data', 'defi', 'smart-contracts', 'cosmos', 'binance-smart-chain', 'binance-launchpad', 'binance-labs-portfolio', 'cms-holdings-portfolio', 'pantera-capital-portfolio', 'web3', 'injective-ecosystem', 'layer-1']",,93400000.0,100000000.0,False,,45,,,,2024-04-29T04:44:00.000Z,26.05925396755384,55517858.54205548,4.5568,1.58791404,-0.87429704,-10.30950375,-29.22096909,-37.90312625,-29.05828655,2433934320.5695286,0.1047,2605925396.76,,2024-04-29T04:44:00.000Z,7226.0,Injective,INJ,injective,inj,2024-04-29 12:46:40.516578
6719,The Graph,GRT,the-graph,467,2020-12-17T00:00:00.000Z,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem']",,9483059224.98849,10797266751.019114,False,,46,,,,2024-04-29T04:44:00.000Z,0.25474826423695673,70476573.77753247,-30.8841,0.16348697,-5.54525105,-11.63316415,-34.86275584,-9.73181032,58.21144065,2415792877.222078,0.1039,2750584963.33,,2024-04-29T04:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,2024-04-29 12:46:40.516578
